character,degree,betweenness,closeness,eigenvector,pagerank,frequency
Mary Cecil Hay,1,0.0,0.003663003663003663,2.2321411060905252e-17,0.0036496350364963502,1
Uncle Tom,1,0.0,0.003663003663003663,2.2321411060905252e-17,0.0036496350364963502,2
Harriet Beecher Stowe,1,0.0,0.003663003663003663,2.2321411060905252e-17,0.0036496350364963502,1
Basil Lyndhurst.=,1,0.0,0.017015242821694435,3.5204177010752485e-13,0.0020903902031400123,1
Thomas Hughes,1,0.0,0.003663003663003663,2.2321411060905252e-17,0.0036496350364963502,2
Bacon,1,0.0,0.14635746297637417,7.737217232110403e-05,0.0015370273837642901,3
Old Myddelton,1,0.0,0.003663003663003663,2.2321411060905252e-17,0.0036496350364963502,1
Tom Burke,1,0.0,0.003663003663003663,2.2321411060905252e-17,0.0036496350364963502,1
Pere Goriot.=,1,0.0,0.003663003663003663,2.2321411060905252e-17,0.0036496350364963502,1
Cousin Pons.= By Honore de Balzac,1,0.0,0.003663003663003663,2.2321411060905252e-17,0.0036496350364963502,2
Harry Lorrequer.= By Charles Lever,1,0.0,0.003663003663003663,2.2321411060905252e-17,0.0036496350364963502,2
JULIAN MORTIMER,1,0.0,0.004884004884004884,3.871536623750202e-16,0.0028083666035854946,1
Giannetta,1,0.0,0.003663003663003663,2.2321411060905252e-17,0.0036496350364963502,1
GUY HARRIS,1,0.0,0.004884004884004884,3.871536623750202e-16,0.0028083666035854946,1
ROSA NOUCHETTE CAREY,1,0.0,0.013186813186813187,1.4873019914682565e-13,0.0022534215797347774,4
SENATOR JOHN SHERMAN,1,0.0,0.003663003663003663,2.2321411060905252e-17,0.0036496350364963502,1
FRANCES M. SMITH . Cloth,1,0.0,0.003663003663003663,2.2321411060905252e-17,0.0036496350364963502,4
Nicholas Nickleby.=,1,0.0,0.003663003663003663,2.2321411060905252e-17,0.0036496350364963502,1
PROF . ROBERT GRIFFITH,1,0.0,0.003663003663003663,2.2321411060905252e-17,0.0036496350364963502,3
FRANCES STEVENS,1,0.0,0.003663003663003663,2.2321411060905252e-17,0.0036496350364963502,2
"Famous People of All Ages.= Who they were , when they lived , and why they are famous",1,0.0,0.005494505494505495,1.2004631706882216e-15,0.0025611473940324197,1
CHARLES C. ABBOTT,1,0.0,0.003663003663003663,2.2321411060905252e-17,0.0036496350364963502,1
Henry Ward Beecher,1,0.0,0.013524936601859681,1.064503035618682e-13,0.0021810007214138724,1
Harland,1,0.0,0.013524936601859681,1.064503035618682e-13,0.0021810007214138724,1
Birds,1,0.0,0.003663003663003663,2.2321411060905252e-17,0.0036496350364963502,1
The Water Babies,1,0.0,0.003663003663003663,2.2321411060905252e-17,0.0036496350364963502,1
Charles Kingsley,1,0.0,0.003663003663003663,2.2321411060905252e-17,0.0036496350364963502,3
Gen. Fremont,1,0.0,0.013524936601859681,1.064503035618682e-13,0.0021810007214138724,1
LEWIS CARROLL,1,0.0,0.11878780134594089,6.916333981152962e-06,0.0018476673806764304,1
CAPTAIN KIDD,1,0.0,0.003663003663003663,2.2321411060905252e-17,0.0036496350364963502,1
Jan of the Windmill,1,0.0,0.19275001727831917,0.005286458432475051,0.0006936862052788928,1
ROSA MULHOLLAND,1,0.0,0.003663003663003663,2.2321411060905252e-17,0.0036496350364963502,1
JENNIE TAYLOR WANDLE,1,0.0,0.005494505494505495,1.2004631706882216e-15,0.0025611473940324197,2
BUDD BOYD 'S TRIUMPH,1,0.0,0.004884004884004884,3.871536623750202e-16,0.0028083666035854946,1
ROY GILBERT,1,0.0,0.004884004884004884,3.871536623750202e-16,0.0028083666035854946,1
TOM THE BOOT - BLACK,1,0.0,0.14635746297637417,7.737217232110403e-05,0.0015370273837642901,1
HARRY DARREL,1,0.0,0.003663003663003663,2.2321411060905252e-17,0.0036496350364963502,1
Frank H. Converse=.,1,0.0,0.003663003663003663,2.2321411060905252e-17,0.0036496350364963502,1
Hart,1,0.0,0.003663003663003663,2.2321411060905252e-17,0.0036496350364963502,2
Sam Willett,1,0.0,0.003663003663003663,2.2321411060905252e-17,0.0036496350364963502,1
ALFRED R. CALHOUN,1,0.0,0.003663003663003663,2.2321411060905252e-17,0.0036496350364963502,1
TOM THATCHER,1,0.0,0.14635746297637417,7.737217232110403e-05,0.0015370273837642901,1
JAMES FRANKLIN FITTS,1,0.0,0.003663003663003663,2.2321411060905252e-17,0.0036496350364963502,1
E. Marlitt,1,0.0,0.003663003663003663,2.2321411060905252e-17,0.0036496350364963502,3
