novel,metric,k,gender,base_share,topk_share,rep_ratio,diff
East_Lynne,in_strength,10,F,0.41379310344827586,0.5,1.2083333333333333,0.08620689655172414
Emma,in_strength,10,M,0.41379310344827586,0.5,1.2083333333333333,0.08620689655172414
Emma,in_strength,10,F,0.5862068965517241,0.5,0.8529411764705883,-0.08620689655172409
Esther_Waters,in_strength,10,M,0.6065573770491803,0.7,1.154054054054054,0.09344262295081962
Esther_Waters,in_strength,10,F,0.39344262295081966,0.3,0.7625,-0.09344262295081968
Guy_Mannering,in_strength,10,M,0.7,0.7,1.0,0.0
Guy_Mannering,in_strength,10,F,0.3,0.3,1.0,0.0
Hard_Cash,in_strength,10,M,0.7583333333333333,0.6,0.7912087912087912,-0.15833333333333333
Hard_Cash,in_strength,10,F,0.24166666666666667,0.4,1.6551724137931034,0.15833333333333335
Hard_Times,in_strength,10,M,0.5769230769230769,0.6,1.04,0.023076923076923106
Hard_Times,in_strength,10,F,0.4230769230769231,0.4,0.9454545454545455,-0.02307692307692305
Jack_Sheppard,in_strength,10,M,0.8166666666666667,0.7,0.8571428571428571,-0.1166666666666667
Jack_Sheppard,in_strength,10,F,0.18333333333333332,0.3,1.6363636363636365,0.11666666666666667
Jude_the_Obscure,in_strength,10,M,0.5714285714285714,0.4,0.7000000000000001,-0.17142857142857137
Jude_the_Obscure,in_strength,10,F,0.42857142857142855,0.6,1.4000000000000001,0.17142857142857143
Lady_Audley's_Secret,in_strength,10,M,0.575,0.4,0.6956521739130436,-0.17499999999999993
Lady_Audley's_Secret,in_strength,10,F,0.425,0.6,1.411764705882353,0.175
Love_and_Mr._Lewisham,in_strength,10,M,0.8,0.8,1.0,0.0
Love_and_Mr._Lewisham,in_strength,10,F,0.2,0.2,1.0,0.0
Mansfield_Park,in_strength,10,M,0.46153846153846156,0.5,1.0833333333333333,0.038461538461538436
Mansfield_Park,in_strength,10,F,0.5384615384615384,0.5,0.9285714285714286,-0.038461538461538436
Mary_Barton,in_strength,10,M,0.5882352941176471,0.6,1.02,0.0117647058823529
Mary_Barton,in_strength,10,F,0.4117647058823529,0.4,0.9714285714285715,-0.0117647058823529
Melmoth_the_Wanderer3,in_strength,10,M,0.625,0.7,1.1199999999999999,0.07499999999999996
Melmoth_the_Wanderer3,in_strength,10,F,0.375,0.3,0.7999999999999999,-0.07500000000000001
Melmoth_the_Wanderer4,in_strength,10,M,0.6896551724137931,0.6,0.8699999999999999,-0.08965517241379317
Melmoth_the_Wanderer4,in_strength,10,F,0.3103448275862069,0.4,1.288888888888889,0.08965517241379312
Middlemarch,in_strength,10,M,0.632,0.7,1.1075949367088607,0.06799999999999995
Middlemarch,in_strength,10,F,0.368,0.3,0.8152173913043478,-0.068
Miss_Marjoribanks,in_strength,10,M,0.5434782608695652,0.4,0.7360000000000001,-0.14347826086956517
Miss_Marjoribanks,in_strength,10,F,0.45652173913043476,0.6,1.3142857142857143,0.14347826086956522
Mr._Midshipman_Easy,in_strength,10,M,0.8214285714285714,0.8,0.9739130434782609,-0.021428571428571352
Mr._Midshipman_Easy,in_strength,10,F,0.17857142857142858,0.2,1.12,0.021428571428571436
New_Grub_Street,in_strength,10,M,0.6481481481481481,0.6,0.9257142857142857,-0.04814814814814816
New_Grub_Street,in_strength,10,F,0.35185185185185186,0.4,1.1368421052631579,0.04814814814814816
North_and_South,in_strength,10,M,0.546875,0.6,1.0971428571428572,0.05312499999999998
North_and_South,in_strength,10,F,0.453125,0.4,0.8827586206896553,-0.05312499999999998
Old_Mortality,in_strength,10,M,0.7922077922077922,0.8,1.0098360655737706,0.007792207792207795
Old_Mortality,in_strength,10,F,0.2077922077922078,0.2,0.9625,-0.007792207792207795
Oliver_Twist,in_strength,10,M,0.7560975609756098,0.8,1.0580645161290323,0.04390243902439028
Oliver_Twist,in_strength,10,F,0.24390243902439024,0.2,0.8200000000000001,-0.04390243902439023
Our_Mutual_Friend,in_strength,10,M,0.6559139784946236,0.7,1.0672131147540984,0.04408602150537633
Our_Mutual_Friend,in_strength,10,F,0.34408602150537637,0.3,0.8718749999999998,-0.04408602150537638
Paul_Clifford,in_strength,10,M,0.8,0.8,1.0,0.0
Paul_Clifford,in_strength,10,F,0.2,0.2,1.0,0.0
Pendennis,in_strength,10,M,0.6528497409326425,0.6,0.919047619047619,-0.0528497409326425
Pendennis,in_strength,10,F,0.3471502590673575,0.4,1.1522388059701494,0.0528497409326425
Persuasion,in_strength,10,M,0.4117647058823529,0.6,1.457142857142857,0.18823529411764706
