character,radius,mentions,degree_centrality,eigenvector,pagerank
Eilrig,0.9925838628051726,1,0.01948051948051948,0.005582301004529327,0.002009312132269539
George Fox,0.9923701740801459,6,0.01948051948051948,0.005582301004529319,0.002009312132269539
Isabella MacDougal,0.992431032940019,2,0.01948051948051948,0.005582301004529312,0.002009312132269539
MacDougal of Makerston,0.9922978881796369,2,0.01948051948051948,0.005582301004529325,0.0024150031045509094
Sir Gideon Scott,0.9924841699963043,2,0.01948051948051948,0.005582301004529321,0.002009312132269539
the Rev. James Kirkton,0.9854506396486488,2,0.030303030303030304,0.0075768599375235215,0.003211768841443963
Isobel Mackdougall,0.9965892654933058,1,0.006493506493506494,0.0009616855404790466,0.0010139758504647397
Isobel Scotts,0.9962129240761008,1,0.006493506493506494,0.0009616855404790381,0.0010139758504647397
Privy Councell,0.9935138608081612,1,0.004329004329004329,0.000698867551396237,0.0009188315091617585
Sir Wm,0.9939122851469904,1,0.004329004329004329,0.0006988675513962401,0.0009188315091617585
Dr. Pitcairn,0.9959369773700241,1,0.004329004329004329,0.0009195814542754281,0.0007265121750893045
James York,0.988008462578588,1,0.006493506493506494,0.0014893226793851293,0.0011705454742098479
Lord Willoughby,0.9887289451795299,1,0.006493506493506494,0.0014893226793851273,0.0011705454742098479
Sir William Monson,0.9878712475367829,1,0.006493506493506494,0.0014893226793851275,0.0011705454742098479
Lord Willoughbee,0.9681517544348265,1,0.0021645021645021645,0.0013589129605354475,0.0005067895452436793
Tummas Ditton,0.9667822609943075,1,0.004329004329004329,0.002393729039642259,0.000666392838427814
Necks,0.931311232839032,1,0.006493506493506494,0.004313578177465024,0.0009230078230752196
Yorkshire,0.891163825154414,1,0.004329004329004329,0.0037894550593702836,0.0006233530339271415
Cash,0.9425258305876102,1,0.0021645021645021645,0.0014745291086111477,0.0004924116834338094
NOTE R.--Madge Wildfire,0.9442906740012396,2,0.0021645021645021645,0.0011816159760771171,0.0004982253954190401
Ken!--ay,0.9117446669442038,1,0.0021645021645021645,0.0014074427060584136,0.0004842249751556601
M'Lauchlan,0.985283890905302,32,0.01948051948051948,0.0008996614627225124,0.003613049538691533
Lord Justice - Generall,0.9862239790450342,1,0.0021645021645021645,3.938857577256892e-05,0.0006312620334946705
Stirling,0.9952917547194557,11,0.02813852813852814,9.109724831519326e-05,0.005201261160409504
